CRASH DATE,LATITUDE,LONGITUDE,new-string
03/26/2022,40.742508,-73.91788,03.7425.9178
03/26/2022,40.67046,-73.88788,03.6704.8878
03/26/2022,40.72224,-73.9863,03.7222.9863
03/23/2022,40.67639,-73.97189,03.6763.9718
03/26/2022,40.88893,-73.86579,03.8889.8657
03/25/2022,40.80118,-73.93975,03.8011.9397
03/26/2022,40.757668,-73.95915,03.7576.9591
03/26/2022,40.668896,-73.95339,03.6688.9533
03/25/2022,40.63654,-73.97707,03.6365.9770
03/26/2022,40.831055,-73.905846,03.8310.9058
03/25/2022,40.85868,-73.89922,03.8586.8992
03/23/2022,40.62466,-74.17856,03.6246.1785
03/26/2022,40.63947,-73.902756,03.6394.9027
03/26/2022,40.86173,-73.91182,03.8617.9118
03/26/2022,40.69538,-73.985115,03.6953.9851
03/26/2022,40.63063,-74.00923,03.6306.0092
03/26/2022,40.82707,-73.87075,03.8270.8707
03/26/2022,40.60548,-73.93922,03.6054.9392
03/26/2022,40.692593,-73.91551,03.6925.9155
03/26/2022,40.680664,-73.902626,03.6806.9026
03/26/2022,40.645718,-73.95002,03.6457.9500
03/25/2022,40.68327,-73.95016,03.6832.9501
12/12/2021,40.84036,-73.91807,12.8403.9180
03/26/2022,40.577652,-73.96344,03.5776.9634
03/26/2022,40.730145,-73.99781,03.7301.9978
03/26/2022,40.67478,-73.806206,03.6747.8062
03/25/2022,40.624622,-73.97598,03.6246.9759
03/26/2022,40.67271,-73.97089,03.6727.9708
03/26/2022,40.7314,-73.926094,03.7314.9260
03/25/2022,40.632786,-74.13712,03.6327.1371
03/26/2022,40.596733,-74.07045,03.5967.0704
03/26/2022,40.617645,-73.92092,03.6176.9209
03/26/2022,40.68651,-73.98378,03.6865.9837
03/24/2022,40.69831,-73.9498,03.6983.9498
03/26/2022,40.692455,-73.76814,03.6924.7681
03/20/2022,40.778805,-73.974075,03.7788.9740
03/26/2022,40.747894,-73.989174,03.7478.9891
03/25/2022,40.83578,-73.871445,03.8357.8714
03/25/2022,40.61763,-74.133575,03.6176.1335
03/21/2022,40.731407,-73.99698,03.7314.9969
03/26/2022,40.60784,-73.961975,03.6078.9619
03/25/2022,40.752563,-73.74328,03.7525.7432
03/26/2022,40.67848,-73.98232,03.6784.9823
